what,kind,bundleId,bundleVersion,description,time
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591851
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591852
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591852
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591852
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591853
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591853
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591854
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591854
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591854
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591855
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591855
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591856
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591856
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591856
error,log,,,"Undefined context while filtering dialog/window contexts",1346958591857
error,log,,,"Unhandled event loop exception",1346958591880
error,log,,,"Unhandled event loop exception",1346958591881
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591931
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591931
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591932
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591932
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591932
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591932
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591933
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591933
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591933
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591933
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591934
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591934
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591934
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591935
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1346958591935
